SMILES,P(Act),Unnamed: 2
O=C(N[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,8.356547324,
Fc1cccc(C#CCOc2nsnc2C23CN4CC2C3C4)c1,8.30980392,
O=C(N[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,8.30980392,
Cc1c[n+]2cc(CNC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)Nc3ccc(C(=O)OC(C)C)cc3)n(C)c2s1,8.301029996,
Cc1ccc2[nH]c(=O)n(C3CCN(C4CCOCC4)CC3)c2c1,8.299988938,
O=C(NC1CCN(Cc2ccsc2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,8.27572413,
C[C@@H](c1ccccn1)c1c(CCN2CCCC2)sc2ccccc12,8.236572006,
COc1ccc(S(=O)(=O)c2ccc(C(C)N3CCN(C4CCCCC4)CC3)cc2)cc1,8.22184875,
COc1ccc([S+]([O-])c2ccc(C(C)N3CCN(C4CCCCC4)CC3)cc2)cc1,8.22184875,
C[N+]1(C)CCCC1c1ccc(C(c2ccccc2)C2CCCCC2)o1,8.179995693,
CN(C)CCC=C1c2ccccc2CCc2ccccc21,8.163549286,
Cc1cc2c(cc1F)[nH]c(=O)n2C1CCN(C2CCOCC2)CC1,8.15583359,
CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1,8.131355562,
CO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(C)cc43)CC2)CC1,8.100015437,
O=C(O[C@H]1CN2CCC1CC2)N(Cc1ccccc1)c1ccc(F)cc1,8.080921908,
O=C(CN1CCN(Cc2ccccc2)CC1)C(O)(c1ccccc1)C1CC1,8.045757491,
CNC(=O)c1ccc(Cn2cc(C(=O)N[C@H]3COCC[C@@H]3O)c3ncccc32)cc1,8.040958608,
O=C(NCC1CCNCC1)c1ccccc1-c1cc(Cl)ccc1F,8.0,
O=C(OC1CN2CCC1CC2)C(O)(CN1CCSCC1)c1ccccc1,8.0,
O=C1C(=O)N(Cc2ccccc2)c2ccccc21,8.0,
Clc1cccc(C#CCOc2nsnc2C23CN4CC2C3C4)c1,7.978810701,
C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)OCc3ccccc3)CC2)CC1,7.966978555,
O=C(CCC1=[N+]2C(=Cc3ccc(-c4cccs4)n3[B-]2(F)F)C=C1)NCCCCCCN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,7.964570262,
CN1CCC=C(c2nsnc2OCCCCCCCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,7.960189446,
CN[C@@H](C(=O)N(C)[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]24CN(C)[C@@H](C)[C@H]2CC[C@@H]34)C1)C(C)C,7.958607315,
Cc1ccc(CN2CCN(CC(=O)C(O)(c3ccccc3)C3CCC3)CC2)cc1,7.958607315,
Cc1ccc(S(=O)(=O)c2ccc(C(C)N3CCN(C4CCCCC4)CC3)cc2)cc1,7.958607315,
CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,7.935542011,
COc1ccc(CC(=O)NC2CCN(CCCN3C(=O)CCc4cc(F)c(F)cc43)CC2)cc1OC,7.886056648,
CCN1CC=C(c2ccccc2)C(C(=O)OCc2ccccc2)C1,7.872895202,
O=C(N[C@H]1CN2CCC1CC2)C1c2ccccc2Oc2ccccc21,7.872895202,
CCc1n(CC2CC(c3ccccc3)(c3ccccc3)C(=O)O2)cc[n+]1C,7.853871964,
CCN1CCC(c2ccccc2)=C(C(=O)OCC2CCCCC2)C1,7.838631998,
CCN(CC)CCOC(=O)C(C)(c1ccccc1)c1ccccc1,7.836639818,
C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)OC(C)C)CC2)CC1,7.830913643,
N#CC1(c2ccccn2)CCN(Cc2cc3c(c4ccccc24)CN([C@H]2CCCC[C@@H]2O)C3=O)CC1,7.823908741,
O=C(O[C@H]1CN2CCC1CC2)C1c2ccccc2CCc2ccccc21,7.823908741,
