SMILES,P(Act),Unnamed: 2
O=C(O)c1cc2c([nH]c1=O)C[C@]13CCN(CC4CC4)[C@H](Cc4ccc(O)cc41)[C@@H]3C2,9.283996656,
O=C(O[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)N(c1ccccc1)c1ccccc1,9.251811973,
C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,9.237306435,
O=C(Nc1ccc(I)cc1)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,9.236572006,
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccccc5Cl)[C@@H](C2)N(C)CC[C@]314,9.229147988,
NC(=O)CNC(=O)c1cc2c([nH]c1=O)C[C@]13CCN(CC4CC4)[C@H](Cc4ccc(O)cc41)[C@@H]3C2,9.229147988,
COc1ccc(Nc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,9.214670165,
CC[C@@]1(c2cccc(NS(C)(=O)=O)c2)[C@H]2CN(CC3(O)Cc4ccccc4C3)C[C@H]21,9.193820026,
Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@@H](O)[C@H](Cc1ccccc1)C(=O)NCCc1ccccc1,9.193820026,
CO[C@]12C=CC3(CC14CCC(C)(C)[C@H]4O)C1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,9.187086643,
CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3CCc2ccccc2)c2cccc(OC)c2)cc1,9.184422252,
CCC[C@@](C)(O)[C@@H]1CC23C=C[C@]1(OC)[C@H]1Oc4c(O)ccc5c4C12CCN(C)C3C5,9.180456064,
O=C(C[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)N[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,9.173925197,
COc1ccc2c3c1O[C@H]1[C@]4(OC)CC[C@@]5(C[C@@H]4COCc4cccc(C)c4)[C@@H](C2)N(CC2CC2)CC[C@]315,9.170696227,
Ic1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CC2)CC4)cc1,9.148741651,
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCCCC[18F])CC1,9.13076828,
O=C(Cc1ccccc1)O[C@@]12Cc3cc(-c4ccc(Cl)cc4)cnc3[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,9.119186408,
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)C1,9.11407366,
CO[C@]12CC[C@@]3(C[C@@H]1CNC(=O)[C@@H](N)Cc1ccc(O)cc1)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,9.113509275,
COc1ccc2c3c1O[C@H]1[C@]4(OC)CC[C@@]5(C[C@@H]4COCc4ccccc4C)[C@@H](C2)N(CC2CC2)CC[C@]315,9.091514981,
O=C(C#Cc1ccccc1)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,9.075720714,
CN1C(=O)NC(=O)[C@@]12CC[C@@]1(O)[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,9.065501549,
O=C(N[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccncc1,9.060480747,
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@@H](N)Cc1ccccc1,9.055517328,
Oc1ccc2c(c1)C1CCN(CCc3ccccc3)CC1O2,9.045757491,
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@H]1CN[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,9.026872146,
CN1CC[C@]23CC(=O)CC[C@H]2[C@H]1Cc1ccc(C(N)=O)c(O)c13,9.022276395,
O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccc(Cl)c(Cl)c1,9.017728767,
C[C@@H]1CN(CCCc2ccccc2)CCN1c1cccc(O)c1,8.995678626,
O=C(NC1CC1)c1ccc(C(=C2CC3CCC(C2)N3CCc2ccccc2)c2ccccc2)cc1,8.995678626,
CC[C@]12CCN(CC3CC3)[C@H](C(=O)c3ccc(O)cc31)[C@@H]2C,8.991399828,
CCC(=O)N(CCCCCCNC(=N)N)C1CCN(CCc2ccccc2)CC1,8.982966661,
Cc1cnccc1C(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,8.978810701,
CO[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,8.958607315,
COc1ccc2[nH]c3c(c2c1)CCOC31CCC(c2ccccc2)(N(C)C)CC1,8.958607315,
NC(=O)c1ccc(Oc2ccc(CNCCc3ccccc3)cc2)cn1,8.956637722,
Cc1cc(C[C@H](N)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](Cc2cccc3ccccc23)C(N)=O)cc(C)c1O,8.93930216,
C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,8.938045156,
COc1ccccc1CNc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,8.920818754,
Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@@H](O)[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,8.920818754,
Cc1cc(O)cc(C)c1C[C@H](N)[C@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,8.920818754,
Nc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,8.886056648,
CO[C@@]12CC[C@@]3(C[C@@H]1CNC(=O)/C=C/c1ccccc1Cl)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1C)[C@H]2O5,8.884944497,
COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,8.869666232,
O=C1[C@@H](Cc2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,8.853871964,
Oc1ccc2c3c1O[C@H]1[C@H](Nc4ccccc4)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,8.853871964,
O=C1[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)CC12Cc1ccccc1C2,8.834162375,
O=C(/C=C/c1ccc(Cl)cc1)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,8.833273944,
O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccncc1Cl,8.825358807,
CCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,8.823908741,
COC12CC[C@@]3(C[C@@H]1CNC(=O)c1ccccc1C(=O)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,8.821023053,
O=C(N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)c1ccccn1,8.821023053,
CO[C@@]12C=C[C@@]3([C@@H]4CN(C(=O)/C=C/c5ccccc5C)C[C@@H]41)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1C)[C@H]2O5,8.813420329,
CO[C@]12C=CC3(CC14CCC[C@H]4O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)[C@@H]2O5,8.806875402,
O=C(Cc1ccncc1)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,8.799970733,
Oc1cccc([C@@]23CCC[C@@H](C2)N(C[C@H]2C[C@@H]2c2ccccc2)CC3)c1,8.799970733,
CN1CCNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C1,8.795880017,
CN1CC[C@]23CC(=O)CC[C@@]2(O)[C@H]1Cc1ccc(C(=O)NCCc2ccc(-c4cnc(=O)[nH]c4)cc2)c(O)c13,8.795880017,
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1ccc(O)cc1,8.795880017,
CS(=O)(=O)O[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,8.794976178,
C[C@H]1[C@H]2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5)cc4)cc3[C@]1(C)CCN2CC1CC1,8.789146635,
C[C@H]1CN2C[C@H](c3ccccc3)NC[C@H]2C[C@@]1(C)c1cccc(C(N)=O)c1,8.782516056,
O=C(N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)c1cnc2ccccc2c1,8.772113295,
c1ccc(Nc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,8.769551079,
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](NC(=O)c2cccc(I)c2)CC[C@@]3(O)[C@H]1C5,8.756961951,
C[C@H]1CN(CC2CC2c2ccccc2)CC[C@@]1(C)c1cccc(O)c1,8.756961951,
C[C@@H]1CN(CCCc2ccccc2)[C@@H]2CCC[C@]1(c1cccc(O)c1)C2,8.755722879,
CC[C@@]1(c2cccc(C(N)=O)c2)[C@H]2CN(CC3(O)Cc4ccccc4C3)C[C@H]21,8.73754891,
Oc1cccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CC2)CC4)c1,8.73754891,
C[C@H]1CN(C/C=C/c2ccccc2)[C@@H]2C[C@@H](NC(=O)C(C)(C)c3ccccc3)C[C@@]1(c1cccc(O)c1)C2,8.721246399,
CN(C)C1(c2ccccc2)CCC2(CCCc3c2[nH]c2ccccc32)CC1,8.709965389,
C[C@H]1CN2C[C@H](C3CCCCC3)NC[C@H]2C[C@@]1(C)c1cccc(O)c1,8.698970004,
O=C1NCN(c2ccccc2)C12CCN(Cc1cc3c(cc1Cl)OCO3)CC2,8.698970004,
C[C@H]1CN(CCCc2ccccc2)[C@@H]2C[C@@H](NC(=O)C3(c4ccsc4)CCCC3)C[C@@]1(c1cccc(O)c1)C2,8.684029655,
CC[C@@]12CCN(CC3CC3)C(C(=O)c3ccc(C(N)=O)cc31)[C@@H]2C,8.677780705,
C=C(C(N)=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)c1cccc(Cl)c1,8.6767479,
