SMILES,P(Act)
C/C=C(\C)C(=O)N[C@H]1[C@@H](O)C[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4[C@H](C)N(C)C)[C@@H]3CC[C@H]2[C@H]1OC(C)=O,3.73999999
O=C(/C=N/O)c1cccnc1OCC1CCN(Cc2ccccc2)CC1,3.744486287
CC(C)(O)C(=O)Cc1cc2ccc(=O)oc2cc1O,3.744727495
CC#CC(C)(C)OC[n+]1ccn(C)c1/C=N/O,3.756961951
CCCCN(CCCC)CCCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,3.788906169
CCCCN1CCCN=C1/C=N/O,3.804100348
CCCCN(CCCC)CCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,3.818642408
CC1(C)C=Cc2cc3ccc(=O)oc3cc2O1,3.823908741
Nc1c2c(nc3ccccc13)-c1cc(Br)ccc1CC2,3.841336019
COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCCc1cc(C)nc(/C=N/O)c1O)CC2,3.843652799
Cc1c(O)cccc1[N+](C)(C)C,3.850000014
CCCC1OCc2c[n+](C)c(C)c(OC(=O)N(C)C)c2CO1,3.853871964
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4cccc([N+](=O)[O-])c4)[nH]3)ccc21,3.859397692
O=C(/C=N/O)c1ccc(OCC2CCN(Cc3ccccc3)C2)nc1,3.862013267
COc1cc2ccnc3c2c(c1OC)COC3(CCCO)OC,3.863279433
Cc1cccc(-c2nnc(-c3ccc4c(c3)CO[C@@]4(CCCN(C)C)c3ccc(F)cc3)[nH]2)c1,3.875397972
C=C(C)[C@H](O)Cc1cc2ccc(=O)oc2cc1O,3.886056648
c1ccc(CCCCCSc2c3c(nc4ccccc24)CCCC3)nc1,3.886056648
COc1cc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)ccc1O,3.888233567
COc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,3.896196279
CN1Cc2cc(O)ccc2N(C)C1c1cc[nH]c1,3.935916564
COc1ccc(C(F)(F)F)c[n+]1CCCCCO.O=S(=O)([O-])C(F)(F)F,3.941194513
O/N=C/c1cc[n+](CCC[n+]2ccc(-c3ccccc3)cc2)cc1,3.950781977
BrCC1CN=C(Nc2ccccn2)S1,3.958607315
CC12CCC(c3c1nc1ccccc1c3N)C2(C)C,3.958607315
COc1cc2ccnc3c2c(c1OC)COC3(O)CC(O)CO,3.962573502
NC(=O)c1cc[n+](COC[n+]2ccc(/C=N/O)cc2/C=N/O)cc1,3.96684441
CC(C(=O)NCCCNCCCNC1=CC(=O)c2ccccc2C1=O)c1ccc(-c2ccccc2)c(F)c1,3.970616222
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,3.998266287
C#CCCOC[n+]1ccc(/C=N/O)cc1,4.015472687
CCCCC1(O)c2nc3ccccc3c(N)c2CC1C,4.040958608
NC(=O)N1c2ccccc2Sc2ccccc21,4.049148541
C=CC(CBr)Nc1c2c(nc3ccc(OC)cc13)CCCC2,4.050122296
CCCCCN1CC(C)(C)CN=C1/C=N/O,4.050609993
O=c1c2ccccc2nc2n1CCC2,4.083546051
CCOc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,4.089375595
C[C@]12CC[C@H](O)[C@@](C)(CO)C1C[C@H](O)[C@@]1(C)Oc3cc(-c4ccc(Cl)nc4)oc(=O)c3C(=O)C21,4.096910013
COc1cccc(CN2CCC(/C=C3\Cc4ccc(OC)cc4C3=O)CC2)c1,4.113537477
